,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
1964,1,1,27,0,0,8.0,0,1.0,2
1965,0,0,43,0,0,2.0,0,2.0,3
1966,1,1,33,0,8,7.0,0,3.0,1
1967,0,0,56,0,2,0.0,1,2.0,1
1968,0,0,70,0,5,1.0,2,2.0,1
1969,0,0,70,1,3,1.0,2,2.0,0
1972,1,1,40,0,4,6.0,0,3.0,0
1974,1,1,29,0,1,1.0,0,4.0,0
1976,1,0,40,0,4,0.0,1,2.0,3
1977,0,0,82,0,6,1.0,0,1.0,2
1978,1,1,38,0,0,7.0,0,1.0,3
1979,0,0,39,0,3,0.0,1,3.0,3
1980,0,0,39,0,0,0.0,1,2.0,1
1981,0,1,47,0,0,0.0,0,1.0,2
1982,0,0,75,0,6,0.0,2,2.0,2
1983,1,0,37,1,7,0.0,0,4.0,0
1984,0,0,84,1,6,1.0,2,2.0,2
1985,1,1,42,0,2,6.0,0,2.0,2
1986,0,0,39,0,3,0.0,1,2.0,0
1987,0,0,42,0,0,0.0,1,2.0,3
1988,1,0,40,0,0,1.0,1,2.0,2
1989,1,1,52,0,3,1.0,0,1.0,3
1990,0,1,52,1,0,5.0,0,1.0,3
1991,0,1,31,0,2,0.0,0,4.0,0
1992,0,0,37,0,7,1.0,0,2.0,0
1993,0,1,27,0,0,3.0,0,1.0,2
1994,1,1,35,0,4,4.0,0,4.0,1
1995,0,0,79,0,0,0.0,2,2.0,1
1996,1,1,28,0,3,1.0,0,4.0,1
1997,0,1,31,1,1,0.0,0,4.0,0
1998,0,0,88,1,5,0.0,2,3.0,0
1999,1,1,51,0,2,4.0,0,1.0,2
2001,1,0,53,0,0,0.0,1,2.0,3
2002,1,1,43,0,0,8.0,0,2.0,3
2003,0,0,55,1,5,0.0,0,2.0,2
2004,0,1,35,0,0,4.0,0,2.0,2
2005,1,0,25,1,4,1.0,1,2.0,2
2006,0,0,58,0,0,6.0,1,4.0,1
2007,1,1,32,0,3,1.0,0,6.0,0
2008,1,0,49,1,0,1.0,1,4.0,1
2009,1,0,53,1,2,9.0,2,2.0,2
2010,1,0,31,1,4,9.0,0,4.0,2
2011,0,1,39,0,0,1.0,0,2.0,3
2012,0,1,42,0,2,1.0,0,1.0,2
2013,0,1,20,1,1,1.0,0,5.0,0
2014,0,0,50,0,2,1.0,0,2.0,2
2015,0,1,26,1,3,0.0,0,6.0,3
2016,0,0,46,0,0,1.0,1,3.0,1
2017,0,1,30,0,3,0.0,0,2.0,2
2018,1,0,60,0,3,6.0,1,2.0,1
2019,0,0,84,1,6,0.0,0,1.0,0
2021,0,0,63,0,0,6.0,0,1.0,3
2022,1,1,38,0,1,0.0,0,2.0,0
2023,0,0,51,0,2,0.0,1,4.0,1
2024,0,1,20,1,1,0.0,0,4.0,0
2025,1,1,25,1,1,14.0,0,3.0,0
2026,1,1,33,0,3,0.0,0,5.0,0
2027,1,1,31,1,4,0.0,0,1.0,0
2028,0,0,57,0,1,1.0,0,3.0,3
2029,0,0,42,0,0,1.0,0,4.0,3
2030,0,0,40,1,2,2.0,1,5.0,3
2031,0,0,66,1,6,0.0,2,3.0,3
2032,0,1,21,1,8,0.0,0,4.0,2
2033,0,0,73,1,5,1.0,2,2.0,3
2034,1,0,46,0,0,0.0,0,2.0,1
2035,1,0,66,0,0,0.0,1,2.0,1
2036,0,0,27,0,3,0.0,1,2.0,0
2038,1,0,53,1,0,1.0,2,4.0,2
2039,0,0,80,1,6,8.0,0,1.0,0
2040,1,0,63,0,0,1.0,1,3.0,1
2041,1,1,41,0,3,9.0,0,1.0,2
2042,0,0,43,0,0,1.0,1,4.0,1
2044,1,1,18,1,7,9.0,0,5.0,3
2045,1,1,33,0,2,1.0,0,4.0,3
2046,0,1,30,1,4,9.0,0,3.0,0
2047,0,0,85,0,5,1.0,2,2.0,0
2052,1,0,36,0,0,4.0,2,7.0,1
2053,0,0,27,1,2,3.0,1,2.0,3
2054,0,1,28,1,1,0.0,0,5.0,3
2055,1,0,35,0,3,0.0,1,3.0,2
2056,0,1,26,0,2,1.0,0,3.0,0
2058,1,0,56,0,0,1.0,2,4.0,3
2059,1,1,26,0,0,13.0,0,2.0,3
2060,0,0,31,0,2,4.0,0,2.0,3
2061,0,1,21,1,1,0.0,0,2.0,0
2062,0,0,39,1,2,1.0,1,4.0,2
2063,1,1,51,0,0,0.0,0,1.0,1
2064,0,0,45,1,3,0.0,0,4.0,2
2068,0,0,77,0,5,1.0,0,1.0,0
2070,1,0,33,1,4,7.0,1,5.0,3
2071,0,1,29,1,0,1.0,0,3.0,2
2073,0,0,43,0,0,1.0,0,2.0,3
2074,1,1,18,1,1,1.0,0,3.0,0
2075,0,0,53,0,0,3.0,1,3.0,3
2076,0,0,28,0,2,3.0,1,3.0,3
2077,1,1,43,0,2,1.0,0,4.0,2
2078,0,1,31,0,2,1.0,0,3.0,0
2080,0,0,65,0,0,1.0,0,2.0,2
2081,0,0,33,0,0,0.0,1,2.0,3
2082,0,0,49,0,0,0.0,1,6.0,1
2083,0,1,33,1,1,1.0,0,4.0,1
2084,0,0,53,0,0,6.0,1,2.0,1
2085,1,0,47,0,0,7.0,1,4.0,1
2086,0,1,31,1,2,1.0,0,7.0,0
2087,0,0,52,0,5,1.0,2,4.0,3
2090,1,1,30,0,1,1.0,0,2.0,2
2092,0,0,69,1,5,9.0,1,2.0,3
2093,0,1,29,0,4,0.0,0,4.0,0
2094,1,0,56,1,4,1.0,1,5.0,3
2095,1,0,72,0,0,1.0,1,3.0,3
2097,0,1,30,1,4,1.0,0,4.0,0
2098,1,1,31,0,1,1.0,0,4.0,3
2099,0,1,41,0,0,2.0,0,3.0,2
2100,1,1,31,0,1,9.0,0,7.0,0
2102,1,0,26,1,7,7.0,2,3.0,2
2105,0,1,20,1,1,1.0,0,4.0,0
2106,0,0,41,0,0,4.0,0,4.0,2
2108,0,0,63,0,8,1.0,0,3.0,3
2109,0,0,88,0,5,1.0,0,1.0,0
2111,0,0,55,1,4,1.0,2,4.0,2
2113,0,1,32,0,2,1.0,0,2.0,0
2114,1,0,38,0,0,0.0,1,3.0,2
2115,1,0,62,0,4,1.0,0,1.0,3
2116,0,1,18,1,1,1.0,0,5.0,0
2117,0,0,67,1,5,1.0,2,2.0,0
2118,1,0,42,0,0,9.0,0,2.0,3
2119,1,1,45,0,4,0.0,0,1.0,2
2120,0,0,46,1,3,0.0,1,3.0,0
2121,0,1,20,1,1,2.0,0,4.0,0
2122,1,0,41,0,4,0.0,2,3.0,2
2123,1,0,35,1,4,7.0,1,4.0,2
2124,1,0,52,0,0,6.0,0,2.0,2
2125,1,0,63,0,0,1.0,1,4.0,3
2126,0,0,51,1,5,5.0,0,3.0,1
2127,1,0,29,0,2,0.0,1,2.0,2
2128,0,1,27,1,3,0.0,0,4.0,3
2129,1,1,37,0,3,1.0,0,1.0,2
2131,1,1,50,0,0,0.0,0,2.0,2
2132,0,0,74,0,6,1.0,0,1.0,2
2133,1,0,72,0,0,3.0,1,3.0,1
2134,1,0,83,0,6,1.0,2,2.0,3
2135,0,0,37,0,4,1.0,1,3.0,2
2136,1,1,19,1,1,0.0,0,3.0,0
2137,1,1,30,1,0,1.0,0,1.0,3
2138,1,1,46,0,4,1.0,0,2.0,3
2139,1,0,65,0,3,1.0,0,2.0,3
2140,1,0,88,0,6,1.0,1,2.0,1
2141,0,0,43,0,2,0.0,1,2.0,2
2142,0,0,50,0,5,9.0,2,3.0,1
2143,0,1,35,0,0,8.0,0,2.0,0
2144,0,0,67,0,6,0.0,0,1.0,2
2145,0,0,66,0,5,0.0,0,1.0,3
2146,1,1,39,0,0,3.0,0,2.0,1
2148,1,1,32,1,8,8.0,0,1.0,0
2149,1,1,40,0,0,6.0,0,1.0,3
2150,0,0,88,0,6,0.0,2,3.0,1
2151,0,1,30,0,1,8.0,0,5.0,0
2152,0,1,32,0,2,1.0,0,1.0,2
2153,0,0,43,1,7,1.0,0,2.0,0
2154,1,0,55,1,4,3.0,1,2.0,3
2155,1,0,47,0,0,0.0,1,3.0,1
2158,0,1,22,1,1,0.0,0,4.0,0
2160,1,1,31,1,1,0.0,0,7.0,3
2162,0,1,19,1,1,0.0,0,4.0,0
2163,0,0,69,1,3,0.0,1,2.0,1
2165,0,0,45,0,5,0.0,2,2.0,1
2166,1,1,22,1,3,1.0,0,3.0,2
2167,1,1,26,0,3,0.0,0,3.0,3
2168,0,1,39,0,0,1.0,0,3.0,2
2169,0,0,61,0,2,1.0,0,2.0,2
2170,1,0,74,1,6,1.0,2,2.0,1
2171,0,1,29,0,0,4.0,0,1.0,0
2172,0,1,29,0,8,5.0,0,1.0,0
2173,0,1,36,1,5,0.0,0,3.0,0
2174,1,1,63,0,3,0.0,0,2.0,3
2175,0,0,69,0,0,0.0,1,5.0,1
2177,0,0,81,0,6,1.0,0,1.0,2
2178,1,0,71,1,6,1.0,2,2.0,3
2179,1,1,31,1,1,10.0,0,2.0,1
2180,0,0,41,0,2,9.0,1,4.0,2
2181,0,0,35,1,8,1.0,1,3.0,3
2182,1,1,52,0,0,6.0,0,1.0,2
2185,0,0,45,1,0,0.0,0,2.0,3
2186,1,1,19,1,7,1.0,0,4.0,0
2187,0,1,23,1,1,2.0,0,5.0,0
2188,0,0,77,1,6,0.0,0,2.0,0
2189,1,0,84,0,6,0.0,0,1.0,3
2190,0,0,47,1,2,1.0,2,4.0,0
2191,0,1,29,0,2,6.0,0,3.0,2
2192,1,1,35,0,0,8.0,0,3.0,2
2193,0,0,40,0,0,14.0,0,2.0,1
2194,0,1,35,1,1,1.0,0,1.0,0
2195,0,1,20,1,1,0.0,0,3.0,0
2196,0,1,43,0,2,0.0,0,2.0,2
2197,0,0,56,1,5,0.0,0,1.0,0
2198,1,0,53,0,0,3.0,0,1.0,2
2199,0,0,22,1,5,1.0,2,3.0,0
2200,0,0,32,1,1,1.0,2,4.0,0
2201,0,0,51,1,5,2.0,2,5.0,2
2203,0,0,37,1,3,2.0,1,4.0,2
2204,0,0,55,0,0,4.0,1,4.0,2
2205,0,1,42,0,2,3.0,0,2.0,2
2206,0,1,20,1,1,1.0,0,5.0,0
2207,1,1,42,0,0,12.0,0,2.0,2
2208,1,0,38,1,4,1.0,2,5.0,3
2209,1,1,52,0,4,3.0,0,1.0,2
2210,1,0,48,0,7,9.0,0,1.0,0
2211,0,0,37,0,2,5.0,1,2.0,1
2212,0,1,27,1,3,1.0,0,3.0,3
2213,0,0,48,1,0,3.0,1,4.0,3
2214,1,1,25,0,7,5.0,0,2.0,0
2215,1,1,56,0,3,3.0,0,1.0,2
2216,1,0,68,1,6,1.0,0,1.0,0
2217,0,1,21,1,1,0.0,0,4.0,0
2219,0,1,43,0,0,1.0,0,2.0,3
2220,0,0,52,0,6,8.0,2,2.0,1
2221,0,0,50,1,5,0.0,1,5.0,3
2222,0,1,41,0,2,0.0,0,1.0,0
2223,0,0,40,0,2,8.0,1,2.0,3
2224,0,1,32,0,1,8.0,0,2.0,0
2225,0,0,57,0,8,5.0,2,2.0,2
2226,1,1,25,0,0,13.0,0,2.0,1
2227,0,0,74,1,6,0.0,2,2.0,2
2229,1,0,46,0,0,0.0,1,2.0,1
2230,1,1,50,0,0,1.0,0,1.0,0
2231,0,0,50,0,0,0.0,1,2.0,3
2232,1,0,69,0,6,0.0,2,2.0,1
2233,0,1,29,0,0,0.0,0,1.0,2
2236,0,0,38,1,5,9.0,2,5.0,3
2237,1,0,82,1,6,0.0,0,1.0,2
2239,1,0,50,1,4,0.0,0,3.0,3
2240,0,0,56,0,0,0.0,2,2.0,3
2241,0,1,19,1,1,4.0,0,3.0,0
2242,0,0,29,1,5,12.0,0,3.0,3
2243,0,1,26,0,3,1.0,0,3.0,0
2244,1,1,31,1,3,1.0,0,5.0,1
2245,0,0,42,0,0,0.0,1,2.0,2
2246,1,1,33,0,3,1.0,0,1.0,3
2247,0,0,35,1,1,1.0,0,5.0,0
2248,1,0,46,1,4,0.0,2,3.0,2
2249,1,1,67,0,0,0.0,0,2.0,3
2250,1,1,35,1,0,7.0,0,2.0,0
2251,0,1,28,1,3,8.0,0,3.0,2
2252,1,1,43,1,3,8.0,0,1.0,0
2254,1,0,73,0,0,0.0,1,3.0,1
2255,1,1,21,1,1,8.0,0,4.0,0
2256,1,1,32,1,3,1.0,0,3.0,0
2258,0,1,32,0,0,13.0,0,3.0,2
2259,0,1,25,1,8,14.0,0,3.0,2
2260,1,1,40,0,0,5.0,0,1.0,2
2261,1,1,19,1,1,0.0,0,3.0,0
2262,0,0,48,0,5,5.0,2,5.0,3
2263,1,1,36,0,0,3.0,0,3.0,1
2264,0,1,27,1,1,1.0,0,3.0,0
2265,1,0,82,1,2,0.0,2,2.0,3
2266,0,1,23,1,1,9.0,0,4.0,0
2267,0,1,30,0,2,14.0,0,3.0,0
2268,0,1,30,0,2,8.0,0,4.0,2
2269,0,1,30,0,1,1.0,0,3.0,0
2270,0,1,28,0,2,1.0,0,5.0,1
2271,0,0,60,0,0,0.0,0,2.0,2
2272,1,0,52,0,0,1.0,1,2.0,1
2274,1,1,19,1,1,0.0,0,2.0,0
2275,0,0,40,1,5,1.0,0,5.0,0
2276,0,1,38,0,2,8.0,0,1.0,0
2277,1,0,71,0,2,1.0,1,2.0,3
2278,1,1,40,0,4,1.0,0,3.0,3
2279,0,0,68,0,0,0.0,2,2.0,3
2281,0,1,21,1,1,0.0,0,4.0,0
2284,1,0,39,1,4,1.0,1,4.0,3
2285,0,0,41,0,5,0.0,0,4.0,3
2287,1,1,22,1,1,0.0,0,3.0,0
2289,1,0,49,0,0,3.0,0,2.0,3
2290,1,0,26,0,1,8.0,0,2.0,0
2292,1,1,27,1,4,0.0,0,2.0,0
2293,1,1,50,1,2,8.0,0,2.0,2
2294,1,0,37,0,8,5.0,0,2.0,0
2295,0,1,43,0,7,0.0,0,2.0,2
2296,0,1,35,0,2,13.0,0,1.0,0
2297,1,0,50,0,0,1.0,0,1.0,1
2298,0,1,31,0,0,7.0,0,1.0,2
2300,1,1,20,1,1,0.0,0,2.0,0
2301,0,0,66,0,2,1.0,1,2.0,1
2302,0,0,37,0,1,1.0,1,2.0,2
2303,0,0,52,0,0,2.0,1,2.0,1
2304,0,0,45,0,5,7.0,2,5.0,1
2305,1,1,27,0,1,2.0,0,6.0,0
2306,1,0,46,0,0,1.0,2,4.0,1
2307,1,0,43,1,3,9.0,0,1.0,2
2308,1,1,32,1,3,8.0,0,6.0,1
2309,0,0,87,0,6,9.0,0,4.0,1
2311,0,1,59,0,0,1.0,0,2.0,3
2312,0,0,63,0,0,1.0,1,3.0,1
2315,0,1,47,0,0,0.0,0,1.0,3
2316,1,0,45,0,0,9.0,0,2.0,1
2317,0,0,79,1,6,0.0,0,1.0,0
2318,0,0,65,1,2,1.0,2,2.0,3
2319,1,1,38,0,1,0.0,0,2.0,3
2321,0,1,20,1,1,2.0,0,3.0,0
2322,1,0,36,0,0,1.0,0,2.0,1
2323,0,1,22,1,1,0.0,0,4.0,0
2324,0,0,56,1,1,0.0,2,4.0,3
2325,1,1,32,0,3,5.0,0,3.0,2
2326,1,1,33,0,1,1.0,0,1.0,0
2327,1,0,68,0,0,1.0,2,2.0,1
2329,1,0,38,0,0,7.0,1,3.0,3
2331,1,0,49,0,0,0.0,2,4.0,1
2333,1,1,33,1,3,0.0,0,1.0,0
2334,1,0,57,0,0,1.0,2,2.0,1
2335,1,0,65,0,6,2.0,0,6.0,0
2337,0,0,36,0,2,0.0,1,2.0,1
2338,1,0,43,1,4,4.0,1,7.0,2
2339,1,1,18,1,2,1.0,0,5.0,1
2340,1,0,43,1,4,1.0,1,2.0,3
2341,0,0,75,0,6,0.0,0,1.0,2
2343,0,0,39,0,1,11.0,1,2.0,3
2344,0,0,61,0,0,2.0,0,2.0,3
2346,0,1,26,0,4,0.0,0,5.0,1
2347,0,0,52,0,0,7.0,1,4.0,3
2348,0,0,50,0,0,1.0,0,1.0,3
2349,1,1,51,0,0,1.0,0,1.0,3
2350,0,0,50,1,0,1.0,1,3.0,1
2351,0,0,53,0,5,9.0,2,5.0,3
2352,0,0,40,1,5,5.0,0,4.0,0
2354,1,1,26,1,1,0.0,0,3.0,3
2355,0,1,32,1,2,9.0,0,4.0,2
2356,1,1,22,1,1,5.0,0,3.0,0
2357,1,0,36,0,0,1.0,1,4.0,3
2359,1,0,69,1,3,0.0,0,1.0,2
2360,1,1,39,0,2,1.0,0,2.0,2
2361,1,0,81,1,3,0.0,2,2.0,2
2362,1,1,28,1,1,9.0,0,2.0,0
2363,0,1,28,0,1,6.0,0,5.0,0
2364,0,1,52,0,2,1.0,0,5.0,3
2365,1,0,40,0,0,4.0,1,5.0,3
2367,1,0,37,1,0,0.0,1,2.0,0
2368,0,1,26,1,7,1.0,0,5.0,0
2369,1,1,31,1,8,8.0,0,1.0,2
2370,1,0,68,0,6,0.0,0,2.0,1
2371,0,0,42,0,0,1.0,1,3.0,1
2372,1,0,56,0,0,1.0,1,6.0,1
2373,0,0,37,1,2,1.0,0,2.0,2
2374,0,0,58,0,0,1.0,0,1.0,0
2375,0,1,33,0,0,7.0,0,1.0,2
2376,1,1,31,1,8,8.0,0,1.0,0
2377,1,1,27,0,1,0.0,0,3.0,3
2378,0,1,25,1,1,7.0,0,4.0,0
2379,0,0,51,0,2,1.0,1,2.0,3
2380,0,0,37,1,4,8.0,1,3.0,0
2381,0,0,69,0,5,1.0,1,4.0,3
2382,1,0,45,1,3,1.0,0,1.0,2
2383,0,0,38,0,0,0.0,0,2.0,1
2385,1,1,19,1,1,0.0,0,4.0,0
2386,1,1,32,0,1,6.0,0,3.0,0
2387,0,1,31,0,0,1.0,0,5.0,1
2388,0,1,19,1,1,13.0,0,3.0,0
2389,0,0,41,0,2,0.0,1,3.0,1
2391,0,1,21,1,1,1.0,0,4.0,0
2393,0,1,23,1,1,0.0,0,6.0,0
2394,0,0,65,1,2,0.0,1,2.0,1
2395,0,1,31,1,5,4.0,0,5.0,0
2397,1,0,73,1,0,1.0,2,2.0,1
2398,0,0,42,0,3,9.0,0,2.0,1
2399,0,1,47,0,0,0.0,0,1.0,3
2400,1,1,19,1,1,0.0,0,5.0,0
2401,0,0,45,1,5,3.0,0,9.0,0
2403,1,1,28,0,2,0.0,0,3.0,0
2407,1,0,50,0,4,1.0,1,4.0,3
2408,0,1,26,0,1,8.0,0,2.0,1
2409,0,0,82,0,6,0.0,0,1.0,3
2410,0,0,33,0,1,0.0,0,2.0,2
2411,0,1,50,1,7,1.0,0,2.0,1
2412,0,0,83,1,6,0.0,0,1.0,0
2413,1,1,37,0,0,9.0,0,1.0,3
2414,0,0,37,0,0,6.0,1,2.0,2
2415,0,0,55,1,6,1.0,2,3.0,1
2416,0,0,61,0,0,0.0,0,2.0,1
2417,1,0,39,0,0,3.0,0,1.0,3
2418,0,0,40,0,0,0.0,0,2.0,1
2419,0,0,55,0,0,2.0,0,1.0,3
2420,0,0,50,0,1,1.0,1,1.0,0
2421,0,1,26,0,3,13.0,0,3.0,0
2422,1,1,53,0,0,1.0,0,1.0,1
2424,1,1,32,0,0,7.0,0,3.0,2
2425,1,1,31,0,7,0.0,0,1.0,0
2426,0,1,30,1,1,0.0,0,4.0,3
2427,1,1,31,0,3,0.0,0,4.0,2
2428,0,0,47,0,0,4.0,0,1.0,2
2429,0,0,49,0,0,3.0,1,2.0,1
2430,0,0,37,0,5,1.0,2,3.0,3
2431,0,0,47,0,0,13.0,1,4.0,1
2432,0,0,52,0,5,0.0,2,2.0,1
2434,0,0,79,1,6,0.0,2,2.0,3
2435,0,0,47,1,5,1.0,2,6.0,1
2437,0,1,23,1,1,1.0,0,4.0,0
2438,1,1,29,1,4,9.0,0,4.0,2
2439,1,1,33,0,4,10.0,0,1.0,2
2440,0,1,21,1,1,0.0,0,4.0,0
2441,0,1,18,1,1,8.0,0,4.0,0
2442,0,0,70,0,6,0.0,2,2.0,1
2443,1,0,56,0,0,0.0,1,2.0,1
2444,0,0,42,0,0,2.0,1,2.0,3
2445,1,1,28,1,1,1.0,0,2.0,3
2447,0,0,81,0,6,9.0,0,1.0,0
2448,0,1,30,0,0,9.0,0,2.0,2
2449,0,0,53,1,6,0.0,0,2.0,0
2450,0,1,26,0,5,9.0,0,4.0,0
2451,0,0,51,0,0,1.0,0,3.0,1
2452,0,1,19,1,0,9.0,0,7.0,3
2453,0,0,75,0,6,0.0,2,2.0,3
2454,1,0,51,0,4,0.0,0,1.0,2
2455,1,0,70,0,8,3.0,0,2.0,3
2456,1,1,38,0,3,0.0,0,1.0,2
2457,1,1,21,1,1,0.0,0,4.0,0
2458,0,0,80,1,6,0.0,0,1.0,3
2460,0,1,33,1,2,1.0,0,1.0,0
2461,0,0,48,0,2,1.0,1,6.0,1
2462,1,1,33,1,1,8.0,0,3.0,0
2463,1,1,33,0,4,0.0,0,3.0,0
2464,1,1,31,1,1,1.0,0,4.0,1
2465,1,0,48,0,0,1.0,1,2.0,1
2466,0,0,49,1,4,1.0,1,8.0,0
2467,1,0,38,1,0,1.0,0,1.0,3
2468,1,1,39,0,0,0.0,0,1.0,2
2469,1,0,46,0,2,2.0,1,2.0,3
2470,0,0,41,0,0,8.0,1,2.0,1
2471,1,0,31,1,0,0.0,2,3.0,2
2472,0,0,37,0,2,8.0,1,2.0,1
2473,1,0,58,1,4,1.0,0,1.0,3
2474,1,0,49,0,4,1.0,1,2.0,2
2475,1,0,47,1,7,2.0,0,1.0,0
2476,0,1,30,0,1,1.0,0,4.0,0
2478,1,0,33,0,3,0.0,0,2.0,2
2479,0,1,33,1,1,0.0,0,4.0,3
2481,0,0,45,1,3,8.0,0,2.0,2
2482,1,0,45,0,8,1.0,0,1.0,3
2484,1,1,21,1,2,1.0,0,4.0,0
2485,1,1,36,0,0,9.0,0,2.0,2
2487,1,1,28,1,0,0.0,0,5.0,1
2488,1,0,89,1,6,0.0,2,2.0,2
2489,0,0,48,0,5,1.0,2,4.0,1
2490,0,0,47,1,2,0.0,2,5.0,1
2492,1,1,18,1,1,3.0,0,4.0,0
2493,0,0,58,0,6,2.0,2,2.0,1
2494,0,0,42,1,2,9.0,1,3.0,2
2495,0,1,22,1,1,0.0,0,3.0,0
2496,1,0,50,0,0,2.0,0,1.0,3
2498,0,0,73,1,5,0.0,2,2.0,0
2500,0,0,40,0,0,1.0,1,3.0,3
2503,1,0,39,1,3,0.0,0,2.0,3
2504,0,0,83,1,6,0.0,2,3.0,0
2505,0,0,55,0,0,0.0,0,1.0,3
2507,0,0,42,1,4,5.0,1,4.0,2
2508,0,0,27,0,0,1.0,0,4.0,1
2509,0,0,53,0,5,1.0,2,2.0,1
2510,1,0,40,0,4,1.0,1,7.0,2
2511,0,0,62,0,0,0.0,1,9.0,1
2513,0,0,40,0,2,1.0,1,2.0,2
2514,0,1,27,1,1,1.0,0,3.0,2
2515,1,0,84,1,6,0.0,2,2.0,3
2517,0,1,26,1,0,11.0,0,4.0,1
2518,0,1,33,0,2,1.0,0,1.0,2
2519,0,1,27,0,0,0.0,0,1.0,0
2520,1,0,46,1,2,9.0,1,5.0,0
2522,1,1,25,1,1,1.0,0,3.0,2
2524,1,1,32,1,0,3.0,0,4.0,1
2525,1,1,21,1,1,6.0,0,4.0,0
2526,0,0,73,0,6,1.0,2,4.0,1
2527,0,0,35,0,0,0.0,1,2.0,3
2528,0,1,52,0,0,1.0,0,1.0,3
2529,0,0,40,0,0,1.0,0,2.0,3
2531,1,0,88,0,6,1.0,2,2.0,2
2533,1,1,41,0,0,1.0,0,2.0,1
2535,0,0,45,0,0,7.0,1,5.0,3
2536,0,0,41,1,2,0.0,0,4.0,2
2537,0,0,75,0,6,0.0,2,2.0,1
2538,0,1,39,0,2,9.0,0,2.0,2
2539,1,0,89,1,6,0.0,2,2.0,2
2540,0,0,45,0,3,0.0,0,1.0,2
2541,1,0,50,0,0,1.0,1,2.0,1
2542,0,0,43,1,1,6.0,2,2.0,3
2543,0,0,50,0,5,4.0,1,4.0,3
2547,0,0,76,0,6,1.0,0,1.0,0
2549,0,0,41,0,0,1.0,0,2.0,2
2550,0,0,50,0,2,3.0,0,2.0,2
2551,0,0,56,0,5,8.0,2,5.0,1
2552,0,0,28,1,2,0.0,1,2.0,2
2554,1,0,72,0,3,1.0,1,2.0,2
2556,0,1,28,1,0,0.0,0,2.0,2
2557,1,0,27,0,0,8.0,1,2.0,1
2558,1,1,32,1,1,2.0,0,4.0,0
2559,1,1,20,1,3,9.0,0,4.0,2
2560,0,0,45,0,5,1.0,0,5.0,3
2561,0,1,59,0,0,1.0,0,2.0,1
2562,1,1,46,0,7,1.0,0,1.0,0
2563,0,0,46,0,0,1.0,1,3.0,1
2564,0,1,41,0,0,9.0,0,2.0,2
2565,0,0,70,0,6,1.0,2,2.0,3
2567,0,0,42,0,0,9.0,1,3.0,3
2568,1,0,60,1,4,1.0,2,9.0,2
2569,0,1,37,0,4,9.0,0,1.0,0
2570,0,1,18,1,1,0.0,0,7.0,0
2571,0,0,52,0,0,1.0,1,3.0,1
2572,1,1,32,1,0,2.0,0,4.0,2
2573,0,0,74,1,6,8.0,0,1.0,2
2574,0,0,29,0,1,1.0,1,2.0,2
2575,0,0,37,0,2,0.0,1,3.0,1
2576,0,0,45,1,2,1.0,1,3.0,3
2577,0,1,22,1,1,1.0,0,4.0,0
2579,1,0,51,0,0,8.0,1,2.0,3
2580,0,0,59,0,0,0.0,1,2.0,1
2581,0,0,55,0,0,1.0,1,2.0,2
2582,0,1,22,1,1,2.0,0,3.0,0
2584,1,0,84,1,6,0.0,2,2.0,3
2586,0,0,50,0,2,0.0,1,3.0,1
2587,0,0,73,0,0,5.0,2,3.0,1
2588,1,1,23,1,4,1.0,0,4.0,3
2590,1,1,21,0,1,0.0,0,5.0,0
2591,0,1,18,1,1,1.0,0,4.0,0
2592,0,0,46,0,0,0.0,1,3.0,3
2593,0,1,32,0,2,9.0,0,2.0,0
2594,1,1,36,0,1,6.0,0,3.0,0
2595,0,0,37,1,3,9.0,0,2.0,0
2596,0,1,42,0,2,1.0,0,1.0,2
2598,1,0,42,0,1,9.0,1,2.0,0
2599,1,1,33,1,8,9.0,0,1.0,0
2600,1,0,35,1,4,1.0,2,2.0,0
2601,1,0,59,0,0,0.0,1,5.0,1
2602,0,0,70,0,0,1.0,0,1.0,3
2603,0,0,53,1,2,1.0,0,1.0,2
2604,1,0,80,1,6,1.0,2,2.0,0
2606,0,0,39,0,0,0.0,1,2.0,1
2608,1,0,58,0,0,0.0,1,5.0,1
2609,1,1,30,1,8,8.0,0,9.0,2
2610,1,1,23,1,1,0.0,0,3.0,0
2611,0,0,59,0,0,9.0,1,4.0,1
2612,1,0,56,0,3,0.0,0,2.0,0
2613,1,0,40,0,0,8.0,0,1.0,3
2614,1,0,68,0,0,1.0,0,2.0,2
2615,0,1,29,0,0,1.0,0,6.0,2
2616,1,0,55,0,0,1.0,1,3.0,1
2617,0,1,21,1,1,1.0,0,4.0,0
2618,1,1,19,1,4,1.0,0,4.0,0
2619,1,0,41,1,1,1.0,1,4.0,0
2620,0,1,41,0,0,4.0,0,1.0,2
2621,0,1,33,1,3,1.0,0,2.0,1
2623,0,1,41,0,0,6.0,0,1.0,3
2624,0,0,35,0,5,0.0,2,4.0,2
2625,0,0,41,0,2,9.0,1,2.0,3
2627,0,1,26,1,1,0.0,0,3.0,0
2628,0,0,42,1,5,3.0,2,5.0,3
2629,1,0,53,0,0,0.0,1,2.0,1
2630,1,0,33,0,2,3.0,1,3.0,0
2631,0,0,39,0,0,0.0,0,2.0,1
2633,1,1,25,1,0,6.0,0,3.0,1
2634,0,1,40,0,2,0.0,0,2.0,2
2635,1,1,22,1,1,0.0,0,4.0,0
2636,1,0,37,0,0,1.0,1,2.0,1
